year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1929.0,11.0,1472.0,90,1.0,-1.0,0,1.0,-1.0,0,10049.0,725000.0,30.0,20.0,2.0,40.0,4.0,1.0,32.0,6.6
1929.0,11.0,586.0,86,1.0,-1.0,0,1.0,-1.0,0,1.0,229000.0,25.0,64.0,2.0,25.0,50.0,1.0,43.0,5.1
1929.0,11.0,2021.0,91,1.0,-1.0,0,1.0,-1.0,0,4.0,425000.0,28.0,63.0,1.0,46.0,31.0,1.0,25.0,6.8
1929.0,5.0,1060.0,113,1.0,-1.0,0,1.0,10.0,1,986.0,979828.0,36.0,18.0,1.0,22.0,5.0,2.0,6.0,6.0
1929.0,5.0,1557.0,65,1.0,-1.0,0,1.0,-1.0,0,1.0,295000.0,46.0,24.0,1.0,21.0,19.0,2.0,21.0,6.6
1929.0,2.0,1557.0,100,1.0,-1.0,0,1.0,-1.0,0,1.0,322000.0,24.0,24.0,2.0,50.0,30.0,1.0,24.0,6.6
1930.0,3.0,1575.0,152,1.0,-1.0,0,1.0,3.0,1,6.0,1200000.0,22.0,31.0,1.0,50.0,5.0,1.0,34.0,8.0
1930.0,2.0,1557.0,89,1.0,-1.0,0,1.0,-1.0,0,1.0,376000.0,25.0,24.0,2.0,39.0,14.0,1.0,43.0,6.6
1930.0,6.0,1243.0,87,1.0,-1.0,0,1.0,11.0,1,1.0,414000.0,29.0,43.0,1.0,45.0,40.0,1.0,10.0,7.1
1930.0,3.0,681.0,125,1.0,-1.0,0,1.0,-1.0,0,27.0,2000000.0,23.0,128.0,1.0,20.0,4.0,2.0,71.0,7.2
1930.0,8.0,1963.0,100,1.0,-1.0,0,1.0,-1.0,0,1.0,464000.0,31.0,16.0,1.0,24.0,5.0,2.0,12.0,5.6
1930.0,5.0,1178.0,97,1.0,-1.0,0,1.0,-1.0,0,7.0,407000.0,35.0,16.0,1.0,42.0,17.0,1.0,8.0,6.1
1930.0,8.0,147.0,108,1.0,-1.0,0,1.0,6.0,1,16.0,611722.0,35.0,23.0,1.0,21.0,34.0,1.0,41.0,7.2
1930.0,4.0,1557.0,84,1.0,-1.0,0,1.0,3.0,1,1.0,340691.0,28.0,23.0,2.0,26.0,50.0,1.0,54.0,6.8
1930.0,10.0,1231.0,78,1.0,-1.0,0,1.0,-1.0,0,2.0,240000.0,22.0,31.0,1.0,31.0,57.0,1.0,34.0,6.5
1930.0,11.0,538.0,93,1.0,-1.0,0,1.0,-1.0,0,986.0,647000.0,37.0,18.0,1.0,23.0,5.0,2.0,6.0,6.7
1930.0,10.0,1178.0,78,1.0,-1.0,0,1.0,3.0,1,7.0,529000.0,35.0,16.0,1.0,42.0,17.0,1.0,8.0,6.1
1930.0,11.0,1575.0,127,1.0,-1.0,0,1.0,6.0,1,1665.0,3950000.0,29.0,13.0,1.0,30.0,3.0,1.0,2.0,7.4
1930.0,12.0,1193.0,75,1.0,-1.0,0,1.0,-1.0,0,7.0,287000.0,35.0,16.0,1.0,42.0,17.0,1.0,22.0,6.1
1930.0,11.0,1128.0,113,1.0,-1.0,0,1.0,-1.0,0,27.0,1100000.0,40.0,3.0,1.0,19.0,25.0,2.0,50.0,5.4
1930.0,4.0,726.0,99,1.0,-1.0,0,1.0,-1.0,0,6.0,2000000.0,40.0,1.0,1.0,35.0,17.0,1.0,1.0,6.7
1930.0,9.0,1101.0,116,1.0,-1.0,0,1.0,-1.0,0,1.0,980000.0,26.0,5.0,2.0,39.0,7.0,1.0,41.0,6.5
1930.0,8.0,1060.0,69,1.0,-1.0,0,1.0,-1.0,0,2.0,208000.0,39.0,4.0,1.0,48.0,11.0,1.0,99.0,5.7
